TIME     ;ta (°C);Ghoris (W/m2;Gbn (W(m2);w10 (m/s);EL (W/m2)
1;9,5;0;0;3,4;317
2;9,2;0;0;3,6;322
3;9;0;0;3,4;320
4;8,9;0;0;3,3;319
5;8,8;0;0;3,1;318
6;8,7;0;0;2,9;318
7;8,8;0;0;2,8;319
8;8,8;1;0;2,6;319
9;8,9;38;0;2,8;320
10;9,1;111;8;2,9;321
11;9,2;174;30;3,1;322
12;9,5;190;5;3,3;323
13;9,9;174;2;3,4;325
14;10,2;135;0;3,6;327
15;10,1;130;0;3,1;319
16;9,9;94;0;2,6;313
17;9,8;34;0;2,1;309
18;9,4;1;0;1,4;304
19;9;0;0;0,7;300
20;8,6;0;0;0;294
21;8,4;0;0;0;293
22;8,3;0;0;0;292
23;8,1;0;0;0;291
24;7,9;0;0;0;291
25;7,8;0;0;0;286
26;7,6;0;0;0;285
27;7,4;0;0;0,4;285
28;7,3;0;0;0,7;284
29;7,1;0;0;1;283
30;6,9;0;0;1,4;282
31;6,8;0;0;1,7;282
32;6,6;1;0;2,1;281
33;8,4;24;0;1,4;289
34;10,2;71;0;0,7;296
35;12;111;0;0;304
36;12,2;164;1;0;313
37;12,4;202;5;0;320
38;12,6;213;9;0;324
39;12,4;170;29;0;321
40;12,2;107;10;0;316
41;12;34;0;0;308
42;12,1;1;0;0,9;318
43;12,1;0;0;1,7;324
44;12,2;0;0;2,6;340
45;11,7;0;0;1,7;322
46;11,1;0;0;0,9;314
47;10,6;0;0;0;302
48;11,2;0;0;1,4;309
49;11,8;0;0;2,7;312
50;12,4;0;0;4,1;315
51;12,6;0;0;4,6;319
52;12,9;0;0;5,1;323
53;13,1;0;0;5,7;324
54;13,3;0;0;6,2;328
55;13,6;0;0;6,7;332
56;13,8;1;0;7,2;334
57;13,7;24;0;7,9;338
58;13,5;70;0;8,6;338
59;13,4;109;0;9,3;339
60;13,2;162;2;8,4;342
61;13;200;5;7,6;341
62;12,8;212;9;6,7;346
63;12,5;215;110;6;337
64;12,1;160;125;5,3;330
65;11,8;59;65;4,6;324
66;11,5;2;0;4;320
67;11,1;0;0;3,3;315
68;10,8;0;0;2,6;308
69;11,7;0;0;2,9;319
70;12,5;0;0;3,3;328
71;13,4;0;0;3,6;337
72;13,5;0;0;3,4;334
73;13,7;0;0;3,3;330
74;13,8;0;0;3,1;324
75;13,4;0;0;2,9;326
76;13;0;0;2,8;324
77;12,6;0;0;2,6;322
78;12,2;0;0;2,4;320
79;11,8;0;0;2,3;320
80;11,4;2;0;2,1;318
81;12,1;59;82;2,2;321
82;12,7;173;154;2,3;327
83;13,4;271;251;2,3;330
84;14,1;335;265;2,4;333
85;14,7;356;269;2,5;339
86;15,4;334;265;2,6;343
87;14,6;269;251;3,8;338
88;13,8;170;158;5;331
89;13;57;50;6,2;326
90;12,8;1;0;5,7;328
91;12,6;0;0;5,1;330
92;12,4;0;0;4,6;342
93;12,5;0;0;4,8;334
94;12,5;0;0;4,9;334
95;12,6;0;0;5,1;328
96;12,2;0;0;5,6;332
97;11,8;0;0;6,2;331
98;11,4;0;0;6,7;336
99;11,3;0;0;6,7;336
100;11,3;0;0;6,7;336
101;11,2;0;0;6,7;335
102;11,4;0;0;7,2;337
103;11,6;0;0;7,7;338
104;11,8;1;0;8,2;340
105;11,6;38;0;7,9;338
106;11,4;111;8;7,5;337
107;11,2;174;29;7,2;336
108;11,2;191;5;7,5;336
109;11,2;175;2;7,9;335
110;11,2;137;0;8,2;335
111;11,1;133;0;8,4;334
112;11,1;98;0;8,5;334
113;11;38;0;8,7;333
114;10,7;1;0;8,5;331
115;10,5;0;0;8,4;329
116;10,2;0;0;8,2;327
117;10,2;0;0;7,9;320
118;10,1;0;0;7,5;320
119;10,1;0;0;7,2;314
120;10,1;0;0;6,9;314
121;10;0;0;6,5;314
122;10;0;0;6,2;310
123;10;0;0;6;313
124;10;0;0;5,9;313
125;10;0;0;5,7;313
126;10;0;0;5,5;313
127;10;0;0;5,3;314
128;10;2;0;5,1;310
129;10,7;66;142;6,1;311
130;11,3;206;409;7,2;313
131;12;340;569;8,2;313
132;12,6;421;663;8,4;316
133;13,2;449;677;8,5;316
134;13,8;422;664;8,7;319
135;13,3;349;651;8,2;316
136;12,7;227;531;7,7;314
137;12,2;79;275;7,2;308
138;11,5;3;0;5,5;306
139;10,7;0;0;3,8;302
140;10;0;0;2,1;296
141;10,1;0;0;3,3;296
142;10,3;0;0;4,5;296
143;10,4;0;0;5,7;296
144;9,7;0;0;4,5;293
145;9,1;0;0;3,3;291
146;8,4;0;0;2,1;289
147;8,1;0;0;2,4;288
148;7,9;0;0;2,8;287
149;7,6;0;0;3,1;286
150;6,9;0;0;2,1;283
151;6,3;0;0;1;275
152;5,6;3;0;0;271
153;8,3;82;290;1,2;282
154;10,9;239;666;2,4;292
155;13,6;376;784;3,6;303
156;14,5;464;839;2,4;309
157;15,3;494;851;1,2;314
158;16,2;463;834;0;319
159;15,7;375;779;0;317
160;15,3;240;643;0;316
161;14,8;84;314;0;314
162;13,2;3;0;0;307
163;11,6;0;0;0;300
164;10;0;0;0;292
165;9,9;0;0;0,7;293
166;9,9;0;0;1,4;293
167;9,8;0;0;2,1;293
168;9,2;0;0;2,1;290
169;8,6;0;0;2,1;287
170;8;0;0;2,1;284
171;7,8;0;0;1,4;283
172;7,6;0;0;0,7;282
173;7,4;0;0;0;281
174;7,6;0;0;0;282
175;7,8;0;0;0;283
176;8;3;0;0;284
177;10,1;82;285;0,7;293
178;12,1;238;654;1,4;303
179;14,2;373;767;2,1;313
180;14,8;461;825;2,1;316
181;15,4;492;837;2,1;319
182;16;462;822;2,1;323
183;15,5;376;770;2,1;320
184;14,9;242;639;2,1;317
185;14,4;86;318;2,1;314
186;13,2;4;0;1,4;309
187;12;0;0;0,7;304
188;10,8;0;0;0;299
189;10,9;0;0;0;299
190;11,1;0;0;0;300
191;11,2;0;0;0;301
192;11,6;0;0;1,4;302
193;12;0;0;2,7;304
194;12,4;0;0;4,1;306
195;12,3;0;0;3,8;305
196;12,3;0;0;3,4;305
197;12,2;0;0;3,1;305
198;12,2;0;0;2,9;305
199;12,2;0;0;2,8;311
200;12,2;3;0;2,6;311
201;13,2;79;256;3,4;315
202;14,2;230;588;4,3;319
203;15,2;361;701;5,1;323
204;15,7;446;757;5,1;326
205;16,1;476;768;5,1;329
206;16,6;447;753;5,1;332
207;16,2;364;699;4,3;330
208;15,8;235;575;3,4;329
209;15,4;86;285;2,6;327
210;14,9;4;0;3,6;324
211;14,5;0;0;4,7;321
212;14;0;0;5,7;318
213;13,9;0;0;4,8;318
214;13,9;0;0;4;318
215;13,8;0;0;3,1;318
216;13,7;0;0;3,5;318
217;13,6;0;0;3,8;317
218;13,4;0;0;4,2;317
219;13,6;0;0;4,1;318
220;13,7;0;0;3,9;323
221;13,9;0;0;3,8;324
222;13,8;0;0;3,6;327
223;13,8;0;0;3,3;327
224;13,7;2;0;3,1;329
225;14,1;69;159;3,3;330
226;14,5;205;405;3,5;329
227;14,9;331;527;3,7;331
228;14,9;414;511;3,4;331
229;15;446;541;3;332
230;15;424;632;2,7;333
231;14,3;345;497;2;326
232;13,6;224;470;1,3;323
233;12,9;82;238;0,5;320
234;12,2;4;0;0,7;316
235;11,5;0;0;0,9;312
236;10,8;0;0;1,1;308
237;10,5;0;0;0,4;302
238;10,1;0;0;0;301
239;9,8;0;0;0;294
240;9,6;0;0;0;293
241;9,5;0;0;0;292
242;9,4;0;0;0;292
243;10,4;0;0;0,7;303
244;11,4;0;0;1,4;313
245;12,4;0;0;2,1;319
246;12,9;0;0;2,4;327
247;13,5;0;0;2,8;332
248;14;1;0;3,1;338
249;14,5;30;0;3,3;340
250;14,9;100;0;3,4;338
251;15,4;177;8;3,6;340
252;15,6;219;12;3,6;342
253;15,8;235;12;3,6;343
254;16;221;12;3,6;344
255;15,7;160;8;3,6;343
256;15,3;90;0;3,6;338
257;15;28;0;3,6;337
258;14,7;1;0;3,6;335
259;14,5;0;0;3,6;336
260;14,2;0;0;3,6;334
261;14,2;0;0;3,6;331
262;14,2;0;0;3,6;329
263;14,2;0;0;3,6;326
264;14,2;0;0;3,6;326
265;14,2;0;0;3,6;327
266;14,2;0;0;3,6;327
